time	V(vin4)	V(vo4)
4.287644530481262e-04	9.129063e-01	-9.979373e+00
4.370501673338407e-04	9.128988e-01	-9.979373e+00
4.453358816195552e-04	9.128912e-01	-9.979372e+00
4.536215959052697e-04	9.128836e-01	-9.979372e+00
4.619073101909841e-04	9.128760e-01	-9.979372e+00
4.701930244766987e-04	9.128684e-01	-9.979372e+00
4.784787387624131e-04	9.128608e-01	-9.979371e+00
4.867644530481276e-04	9.128532e-01	-9.979371e+00
4.894787387624133e-04	9.128508e-01	-9.979371e+00
4.921930244766991e-04	9.128483e-01	-9.979371e+00
4.949073101909849e-04	9.128458e-01	-9.979371e+00
4.976215959052707e-04	9.128434e-01	-9.979371e+00
5.003358816195564e-04	9.128409e-01	-9.979371e+00
5.030501673338422e-04	9.128384e-01	-9.979370e+00
5.057644530481280e-04	9.128358e-01	-9.979370e+00
5.077644530481281e-04	9.128340e-01	-9.979370e+00
5.097644530481281e-04	9.128322e-01	-9.979370e+00
5.117644530481281e-04	9.128304e-01	-9.979370e+00
5.137644530481282e-04	9.128285e-01	-9.979370e+00
5.157644530481282e-04	9.128267e-01	-9.979370e+00
5.177644530481283e-04	9.128249e-01	-9.979370e+00
5.197644530481283e-04	9.128230e-01	-9.979370e+00
5.261930244767000e-04	9.128172e-01	-9.979370e+00
5.326215959052715e-04	9.128113e-01	-9.979370e+00
5.390501673338431e-04	9.128054e-01	-9.979369e+00
5.454787387624147e-04	9.127995e-01	-9.979369e+00
5.519073101909863e-04	9.127936e-01	-9.979369e+00
5.583358816195578e-04	9.127877e-01	-9.979368e+00
5.647644530481294e-04	9.127818e-01	-9.979368e+00
5.670501673338438e-04	9.127797e-01	-9.979368e+00
5.693358816195581e-04	9.127776e-01	-9.979368e+00
5.716215959052724e-04	9.127755e-01	-9.979368e+00
5.739073101909868e-04	9.127735e-01	-9.979368e+00
5.761930244767012e-04	9.127714e-01	-9.979368e+00
5.784787387624155e-04	9.127693e-01	-9.979368e+00
5.807644530481298e-04	9.127672e-01	-9.979368e+00
5.886215959052728e-04	9.127600e-01	-9.979367e+00
5.964787387624159e-04	9.127528e-01	-9.979367e+00
6.043358816195589e-04	9.127456e-01	-9.979366e+00
6.121930244767020e-04	9.127384e-01	-9.979366e+00
6.200501673338451e-04	9.127312e-01	-9.979366e+00
6.279073101909882e-04	9.127240e-01	-9.979366e+00
6.357644530481312e-04	9.127169e-01	-9.979366e+00
6.479073101909886e-04	9.127057e-01	-9.979366e+00
6.600501673338460e-04	9.126946e-01	-9.979365e+00
6.721930244767035e-04	9.126835e-01	-9.979365e+00
6.843358816195609e-04	9.126724e-01	-9.979364e+00
