time	V(vin2)	V(vo2)
1.501312651957539e-04	-1.999804e-01	-5.942526e+00
1.501937053560973e-04	-1.999783e-01	-5.916736e+00
1.503560468962605e-04	-1.999720e-01	-5.840409e+00
1.515846183248319e-04	-1.999218e-01	-5.227649e+00
1.528131897534034e-04	-1.998718e-01	-4.618039e+00
1.540417611819748e-04	-1.998221e-01	-4.011580e+00
1.552703326105463e-04	-1.997727e-01	-3.408271e+00
1.564989040391177e-04	-1.997235e-01	-2.808112e+00
1.577274754676892e-04	-1.996745e-01	-2.211103e+00
1.589560468962607e-04	-1.996259e-01	-1.617245e+00
1.594417611819750e-04	-1.996069e-01	-1.385611e+00
1.599274754676893e-04	-1.995881e-01	-1.156154e+00
1.604131897534036e-04	-1.995695e-01	-9.288726e-01
1.608989040391178e-04	-1.995510e-01	-7.037681e-01
1.613846183248322e-04	-1.995328e-01	-4.808403e-01
1.618703326105464e-04	-1.995147e-01	-2.600890e-01
1.623560468962607e-04	-1.994968e-01	-4.151439e-02
1.624560468962608e-04	-1.994931e-01	2.997226e-03
1.626560468962608e-04	-1.994859e-01	9.162538e-02
1.631846183248322e-04	-1.994668e-01	3.239741e-01
1.637131897534036e-04	-1.994482e-01	5.514052e-01
1.642417611819751e-04	-1.994300e-01	7.739187e-01
1.647703326105465e-04	-1.994121e-01	9.915147e-01
1.652989040391180e-04	-1.993947e-01	1.204193e+00
1.658274754676894e-04	-1.993777e-01	1.411954e+00
1.663560468962608e-04	-1.993611e-01	1.614797e+00
1.677560468962609e-04	-1.993198e-01	2.118456e+00
1.691560468962609e-04	-1.992820e-01	2.580215e+00
1.705560468962609e-04	-1.992476e-01	3.000072e+00
1.719560468962610e-04	-1.992167e-01	3.378029e+00
1.733560468962610e-04	-1.991892e-01	3.714086e+00
1.747560468962610e-04	-1.991651e-01	4.008242e+00
1.761560468962611e-04	-1.991444e-01	4.260497e+00
1.771560468962611e-04	-1.991312e-01	4.421696e+00
1.781560468962611e-04	-1.991191e-01	4.570610e+00
1.791560468962612e-04	-1.991079e-01	4.707239e+00
1.801560468962612e-04	-1.990977e-01	4.831582e+00
1.811560468962612e-04	-1.990885e-01	4.943640e+00
1.821560468962612e-04	-1.990803e-01	5.043413e+00
1.831560468962613e-04	-1.990732e-01	5.130900e+00
1.841703326105470e-04	-1.990666e-01	5.211731e+00
1.851846183248327e-04	-1.990605e-01	5.286174e+00
1.861989040391185e-04	-1.990549e-01	5.354227e+00
1.872131897534042e-04	-1.990499e-01	5.415892e+00
1.882274754676899e-04	-1.990453e-01	5.471167e+00
1.892417611819757e-04	-1.990413e-01	5.520053e+00
1.902560468962614e-04	-1.990378e-01	5.562551e+00
1.913846183248329e-04	-1.990343e-01	5.605296e+00
1.925131897534043e-04	-1.990311e-01	5.644365e+00
1.936417611819758e-04	-1.990282e-01	5.679757e+00
1.947703326105472e-04	-1.990257e-01	5.711471e+00
1.958989040391187e-04	-1.990234e-01	5.739509e+00
1.970274754676902e-04	-1.990214e-01	5.763869e+00
1.981560468962616e-04	-1.990197e-01	5.784553e+00
1.993560468962616e-04	-1.990180e-01	5.804992e+00
2.007703326105474e-04	-1.990163e-01	5.825224e+00
2.021846183248331e-04	-1.990149e-01	5.843417e+00
2.035989040391189e-04	-1.990135e-01	5.859568e+00
2.050131897534047e-04	-1.990124e-01	5.873680e+00
2.064274754676904e-04	-1.990114e-01	5.885750e+00
2.078417611819762e-04	-1.990106e-01	5.895781e+00
2.092560468962619e-04	-1.990099e-01	5.903771e+00
2.112560468962619e-04	-1.990091e-01	5.913385e+00
2.132560468962620e-04	-1.990084e-01	5.921794e+00
2.152560468962620e-04	-1.990079e-01	5.928999e+00
2.172560468962621e-04	-1.990074e-01	5.934998e+00
2.192560468962621e-04	-1.990070e-01	5.939792e+00
2.212560468962622e-04	-1.990067e-01	5.943381e+00
2.232560468962622e-04	-1.990065e-01	5.945765e+00
2.268989040391195e-04	-1.990062e-01	5.949172e+00
2.305417611819767e-04	-1.990060e-01	5.952007e+00
2.341846183248339e-04	-1.990058e-01	5.954269e+00
2.378274754676912e-04	-1.990056e-01	5.955959e+00
2.414703326105484e-04	-1.990056e-01	5.957076e+00
2.451131897534056e-04	-1.990055e-01	5.957622e+00
2.487560468962628e-04	-1.990055e-01	5.957595e+00
3.000000000000000e-04	-1.990054e-01	5.958483e+00
3.000000003000000e-04	-7.930920e-02	5.958493e+00
3.000000007000000e-04	8.028609e-02	5.958506e+00
3.000000010000000e-04	1.999827e-01	5.958516e+00
3.000000418799998e-04	1.999827e-01	5.958516e+00
3.000187832786580e-04	1.999825e-01	5.956827e+00
3.000375246773162e-04	1.999823e-01	5.954176e+00
3.000562660759744e-04	1.999821e-01	5.950565e+00
3.000750074746325e-04	1.999817e-01	5.945992e+00
3.000937488732907e-04	1.999813e-01	5.940459e+00
3.001124902719489e-04	1.999807e-01	5.933965e+00
3.001312316706071e-04	1.999801e-01	5.926510e+00
3.001936569506515e-04	1.999780e-01	5.900734e+00
3.003559311506323e-04	1.999717e-01	5.824461e+00
3.015845025792037e-04	1.999215e-01	5.211820e+00
3.028130740077752e-04	1.998715e-01	4.602297e+00
3.040416454363466e-04	1.998218e-01	3.995893e+00
3.052702168649181e-04	1.997724e-01	3.392608e+00
3.064987882934896e-04	1.997232e-01	2.792442e+00
3.077273597220610e-04	1.996742e-01	2.195394e+00
3.089559311506325e-04	1.996256e-01	1.601465e+00
3.094273597220611e-04	1.996071e-01	1.376623e+00
3.098987882934896e-04	1.995889e-01	1.153807e+00
3.103702168649182e-04	1.995708e-01	9.330164e-01
3.108416454363468e-04	1.995529e-01	7.142517e-01
3.113130740077754e-04	1.995351e-01	4.975128e-01
3.117845025792040e-04	1.995175e-01	2.827996e-01
3.122559311506326e-04	1.995001e-01	7.011217e-02
3.124559311506326e-04	1.994928e-01	-1.905742e-02
3.127559311506326e-04	1.994819e-01	-1.518241e-01
3.133273597220612e-04	1.994614e-01	-4.021812e-01
3.138987882934897e-04	1.994414e-01	-6.466306e-01
3.144702168649183e-04	1.994218e-01	-8.851723e-01
3.150416454363469e-04	1.994028e-01	-1.117806e+00
3.156130740077755e-04	1.993842e-01	-1.344533e+00
3.161845025792041e-04	1.993661e-01	-1.565351e+00
3.167559311506327e-04	1.993485e-01	-1.780262e+00
3.181130740077756e-04	1.993095e-01	-2.256906e+00
3.194702168649185e-04	1.992737e-01	-2.694373e+00
3.208273597220614e-04	1.992410e-01	-3.092663e+00
3.221845025792042e-04	1.992116e-01	-3.451778e+00
3.235416454363471e-04	1.991854e-01	-3.771716e+00
3.248987882934900e-04	1.991624e-01	-4.052478e+00
3.262559311506329e-04	1.991427e-01	-4.294063e+00
3.272559311506329e-04	1.991296e-01	-4.453678e+00
3.282559311506330e-04	1.991175e-01	-4.601119e+00
3.292559311506330e-04	1.991065e-01	-4.736385e+00
3.302559311506330e-04	1.990964e-01	-4.859476e+00
3.312559311506330e-04	1.990873e-01	-4.970393e+00
3.322559311506330e-04	1.990792e-01	-5.069136e+00
3.332559311506331e-04	1.990721e-01	-5.155704e+00
3.342702168649188e-04	1.990656e-01	-5.235690e+00
3.352845025792045e-04	1.990596e-01	-5.309353e+00
3.362987882934903e-04	1.990540e-01	-5.376693e+00
3.373130740077760e-04	1.990491e-01	-5.437708e+00
3.383273597220618e-04	1.990446e-01	-5.492400e+00
3.393416454363475e-04	1.990406e-01	-5.540769e+00
3.403559311506332e-04	1.990372e-01	-5.582814e+00
3.414702168649190e-04	1.990337e-01	-5.624624e+00
3.425845025792047e-04	1.990306e-01	-5.662871e+00
3.436987882934905e-04	1.990278e-01	-5.697554e+00
3.448130740077762e-04	1.990252e-01	-5.728674e+00
3.459273597220620e-04	1.990230e-01	-5.756230e+00
3.470416454363477e-04	1.990210e-01	-5.780222e+00
3.481559311506334e-04	1.990193e-01	-5.800650e+00
3.495130740077763e-04	1.990175e-01	-5.822764e+00
3.508702168649192e-04	1.990159e-01	-5.842710e+00
3.522273597220621e-04	1.990144e-01	-5.860486e+00
3.535845025792050e-04	1.990132e-01	-5.876094e+00
3.549416454363479e-04	1.990121e-01	-5.889533e+00
3.562987882934908e-04	1.990111e-01	-5.900804e+00
3.576559311506337e-04	1.990104e-01	-5.909905e+00
3.595273597220623e-04	1.990095e-01	-5.920673e+00
3.613987882934909e-04	1.990087e-01	-5.930143e+00
3.632702168649195e-04	1.990081e-01	-5.938315e+00
3.651416454363481e-04	1.990075e-01	-5.945189e+00
3.670130740077768e-04	1.990071e-01	-5.950765e+00
3.688845025792053e-04	1.990067e-01	-5.955044e+00
3.707559311506340e-04	1.990065e-01	-5.958025e+00
3.739559311506341e-04	1.990061e-01	-5.962100e+00
3.771559311506341e-04	1.990058e-01	-5.965527e+00
3.803559311506342e-04	1.990056e-01	-5.968305e+00
3.835559311506343e-04	1.990054e-01	-5.970434e+00
3.867559311506344e-04	1.990053e-01	-5.971915e+00
3.899559311506345e-04	1.990053e-01	-5.972746e+00
3.931559311506345e-04	1.990052e-01	-5.972928e+00
4.012559311506347e-04	1.990052e-01	-5.973840e+00
4.500000010000000e-04	1.990051e-01	-5.974523e+00
4.500000013000000e-04	7.930885e-02	-5.974533e+00
4.500000017000000e-04	-8.028644e-02	-5.974546e+00
4.500000020000000e-04	-1.999830e-01	-5.974555e+00
4.500187538851330e-04	-1.999829e-01	-5.972868e+00
4.500375057702660e-04	-1.999827e-01	-5.970218e+00
4.500562576553990e-04	-1.999824e-01	-5.966605e+00
4.500750095405320e-04	-1.999820e-01	-5.962029e+00
4.500937614256650e-04	-1.999816e-01	-5.956491e+00
4.501125133107980e-04	-1.999811e-01	-5.949990e+00
4.501312651959310e-04	-1.999804e-01	-5.942526e+00
4.501937053563554e-04	-1.999783e-01	-5.916736e+00
4.503560468968868e-04	-1.999720e-01	-5.840409e+00
4.515846183254582e-04	-1.999218e-01	-5.227649e+00
4.528131897540297e-04	-1.998718e-01	-4.618039e+00
4.540417611826011e-04	-1.998221e-01	-4.011580e+00
4.552703326111726e-04	-1.997727e-01	-3.408271e+00
4.564989040397441e-04	-1.997235e-01	-2.808112e+00
4.577274754683155e-04	-1.996745e-01	-2.211103e+00
4.589560468968870e-04	-1.996259e-01	-1.617245e+00
4.594417611826013e-04	-1.996069e-01	-1.385611e+00
4.599274754683156e-04	-1.995881e-01	-1.156154e+00
4.604131897540299e-04	-1.995695e-01	-9.288726e-01
4.608989040397442e-04	-1.995510e-01	-7.037681e-01
4.613846183254584e-04	-1.995328e-01	-4.808403e-01
4.618703326111728e-04	-1.995147e-01	-2.600890e-01
4.623560468968871e-04	-1.994968e-01	-4.151439e-02
4.624560468968871e-04	-1.994931e-01	2.997226e-03
4.626560468968871e-04	-1.994859e-01	9.162538e-02
4.631846183254585e-04	-1.994668e-01	3.239741e-01
4.637131897540300e-04	-1.994482e-01	5.514052e-01
4.642417611826014e-04	-1.994300e-01	7.739187e-01
4.647703326111729e-04	-1.994121e-01	9.915147e-01
4.652989040397443e-04	-1.993947e-01	1.204193e+00
4.658274754683157e-04	-1.993777e-01	1.411954e+00
4.663560468968872e-04	-1.993611e-01	1.614797e+00
4.677560468968872e-04	-1.993198e-01	2.118456e+00
4.691560468968872e-04	-1.992820e-01	2.580215e+00
4.705560468968873e-04	-1.992476e-01	3.000072e+00
4.719560468968873e-04	-1.992167e-01	3.378029e+00
4.733560468968873e-04	-1.991892e-01	3.714086e+00
4.747560468968874e-04	-1.991651e-01	4.008242e+00
4.761560468968874e-04	-1.991444e-01	4.260497e+00
4.771560468968874e-04	-1.991312e-01	4.421696e+00
4.781560468968874e-04	-1.991191e-01	4.570610e+00
4.791560468968875e-04	-1.991079e-01	4.707239e+00
4.801560468968875e-04	-1.990977e-01	4.831582e+00
4.811560468968875e-04	-1.990885e-01	4.943640e+00
4.821560468968875e-04	-1.990803e-01	5.043413e+00
4.831560468968876e-04	-1.990732e-01	5.130900e+00
4.841703326111732e-04	-1.990666e-01	5.211731e+00
4.851846183254588e-04	-1.990605e-01	5.286174e+00
4.861989040397443e-04	-1.990549e-01	5.354227e+00
