time	V(vin)	V(vo1)	V(vo2)
5.031668982431811e-04	-7.958758e-02	-1.620626e-01	-9.290865e-02
5.038568377647802e-04	-9.692342e-02	-3.325161e-01	-1.101782e-01
5.042426013699890e-04	-1.066156e-01	-4.369242e-01	-1.094422e-01
5.046071602326029e-04	-1.157744e-01	-5.297134e-01	-9.122893e-02
5.048179726450586e-04	-1.210704e-01	-5.748181e-01	-6.972033e-02
5.050319037625339e-04	-1.264445e-01	-6.111853e-01	-4.089424e-02
5.052560899752755e-04	-1.320759e-01	-6.418055e-01	-9.774976e-03
5.054770903919146e-04	-1.376271e-01	-6.663156e-01	1.824936e-02
5.057281398766802e-04	-1.439328e-01	-6.894009e-01	4.487388e-02
5.060354446066505e-04	-1.516509e-01	-7.135706e-01	7.037974e-02
5.063872766899782e-04	-1.604867e-01	-7.379106e-01	9.184712e-02
5.069251439396382e-04	-1.739929e-01	-7.718543e-01	1.156413e-01
5.074237380131028e-04	-1.865112e-01	-8.016581e-01	1.327231e-01
5.078728620848197e-04	-1.977859e-01	-8.276731e-01	1.457537e-01
5.099414840370807e-04	-2.496943e-01	-9.438059e-01	1.998336e-01
5.173927509418552e-04	-4.362580e-01	-1.344310e+00	3.884263e-01
5.257632866561409e-04	-6.460769e-01	-1.780149e+00	5.991198e-01
5.341338223704266e-04	-8.527067e-01	-2.207526e+00	8.066424e-01
5.425043580847123e-04	-1.056147e+00	-2.626440e+00	1.010994e+00
5.508748937989982e-04	-1.256399e+00	-3.036892e+00	1.212175e+00
5.592454295132839e-04	-1.453461e+00	-3.438881e+00	1.410186e+00
5.676159652275696e-04	-1.647334e+00	-3.832408e+00	1.605025e+00
5.759865009418553e-04	-1.838018e+00	-4.217472e+00	1.796694e+00
5.899373937989982e-04	-2.146899e+00	-4.842550e+00	2.107642e+00
6.038882866561410e-04	-2.434267e+00	-5.423924e+00	2.397308e+00
6.178391795132839e-04	-2.700122e+00	-5.961595e+00	2.665691e+00
6.317900723704267e-04	-2.944464e+00	-6.455563e+00	2.912791e+00
6.457409652275696e-04	-3.167293e+00	-6.905827e+00	3.138609e+00
6.596918580847126e-04	-3.368608e+00	-7.312388e+00	3.343143e+00
6.736427509418554e-04	-3.548410e+00	-7.675246e+00	3.526395e+00
6.998704295132840e-04	-3.802237e+00	-8.188736e+00	3.787481e+00
7.260981080847126e-04	-3.951334e+00	-8.491424e+00	3.943768e+00
7.523257866561411e-04	-3.995700e+00	-8.583312e+00	3.995254e+00
7.785534652275698e-04	-3.935335e+00	-8.464399e+00	3.941941e+00
8.047811437989984e-04	-3.770240e+00	-8.134685e+00	3.783828e+00
8.310088223704270e-04	-3.500414e+00	-7.594170e+00	3.520915e+00
8.572365009418555e-04	-3.125858e+00	-6.842854e+00	3.153202e+00
8.695132866561412e-04	-2.920631e+00	-6.430872e+00	2.950768e+00
8.817900723704270e-04	-2.701537e+00	-5.990232e+00	2.734278e+00
8.940668580847128e-04	-2.468574e+00	-5.520933e+00	2.503730e+00
9.063436437989985e-04	-2.221743e+00	-5.022977e+00	2.259126e+00
9.186204295132842e-04	-1.961043e+00	-4.496363e+00	2.000464e+00
9.308972152275699e-04	-1.686476e+00	-3.941091e+00	1.727747e+00
9.431740009418556e-04	-1.398041e+00	-3.357161e+00	1.440972e+00
9.493123937989984e-04	-1.251935e+00	-3.061579e+00	1.295537e+00
9.554507866561413e-04	-1.104522e+00	-2.761666e+00	1.148814e+00
9.615891795132841e-04	-9.557998e-01	-2.457422e+00	1.000803e+00
9.677275723704270e-04	-8.057698e-01	-2.148846e+00	8.515041e-01
9.738659652275698e-04	-6.544317e-01	-1.835938e+00	7.009172e-01
9.800043580847127e-04	-5.017853e-01	-1.518698e+00	5.490423e-01
9.861427509418555e-04	-3.478308e-01	-1.197127e+00	3.958795e-01
9.900490009418555e-04	-2.499330e-01	-9.871765e-01	2.989240e-01
9.939552509418555e-04	-1.518846e-01	-7.692503e-01	2.028510e-01
9.978615009418555e-04	-5.374473e-02	-5.337735e-01	1.104943e-01
1.000077595798988e-03	1.950195e-03	-3.754518e-01	6.658573e-02
1.001260490686872e-03	3.167925e-02	-2.583494e-01	5.725305e-02
1.002220501228773e-03	5.580547e-02	-1.251840e-01	6.636602e-02
1.002614418860542e-03	6.570455e-02	-5.252348e-02	7.594029e-02
1.003143744582689e-03	7.900578e-02	6.499934e-02	9.239236e-02
1.003462621157784e-03	8.701830e-02	1.442104e-01	1.024912e-01
1.003857122650431e-03	9.693058e-02	2.504590e-01	1.147550e-01
1.004181799167483e-03	1.050880e-01	3.390268e-01	1.235944e-01
1.004465679833970e-03	1.122200e-01	4.106878e-01	1.288987e-01
1.004657420466017e-03	1.170370e-01	4.514377e-01	1.304596e-01
1.004740754567908e-03	1.191305e-01	4.652998e-01	1.304303e-01
1.004837414873585e-03	1.215588e-01	4.777583e-01	1.300538e-01
1.004940404117671e-03	1.241460e-01	4.883979e-01	1.297260e-01
1.005028815479845e-03	1.263669e-01	4.956463e-01	1.297108e-01
1.005128720736954e-03	1.288765e-01	5.022022e-01	1.301467e-01
1.005241334354192e-03	1.317053e-01	5.082818e-01	1.312204e-01
1.005369571354548e-03	1.349265e-01	5.140949e-01	1.331368e-01
1.005557691865792e-03	1.396516e-01	5.215469e-01	1.368064e-01
