vin	I(Rl)
Step Information: R=1K
-3.700000000000021e+00	-3.696963e-03
-3.600000000000021e+00	-3.597105e-03
-3.500000000000021e+00	-3.497248e-03
-3.400000000000021e+00	-3.397390e-03
-3.300000000000021e+00	-3.297533e-03
-3.200000000000021e+00	-3.197675e-03
-3.100000000000021e+00	-3.097818e-03
-3.000000000000020e+00	-2.997961e-03
-2.900000000000020e+00	-2.898105e-03
-2.800000000000020e+00	-2.798248e-03
-2.700000000000020e+00	-2.698392e-03
-2.600000000000020e+00	-2.598536e-03
-2.500000000000020e+00	-2.498680e-03
-2.400000000000020e+00	-2.398824e-03
-2.300000000000020e+00	-2.298968e-03
-2.200000000000020e+00	-2.199113e-03
-2.100000000000020e+00	-2.099258e-03
-2.000000000000020e+00	-1.999403e-03
-1.900000000000019e+00	-1.899548e-03
-1.800000000000019e+00	-1.799693e-03
-1.700000000000019e+00	-1.699838e-03
-1.600000000000019e+00	-1.599984e-03
-1.500000000000019e+00	-1.500130e-03
-1.400000000000019e+00	-1.400276e-03
-1.300000000000019e+00	-1.300422e-03
-1.200000000000019e+00	-1.200569e-03
-1.100000000000019e+00	-1.100715e-03
-1.000000000000019e+00	-1.000862e-03
-9.000000000000187e-01	-9.010091e-04
-8.000000000000187e-01	-8.011563e-04
-7.000000000000187e-01	-7.013037e-04
-6.000000000000187e-01	-6.014512e-04
-5.000000000000188e-01	-5.015990e-04
-4.000000000000188e-01	-4.017469e-04
-3.000000000000188e-01	-3.018951e-04
-2.000000000000188e-01	-2.020434e-04
-1.000000000000188e-01	-1.021920e-04
-1.879052469178077e-14	-2.340681e-06
9.999999999998122e-02	9.751040e-05
1.999999999999812e-01	1.973613e-04
2.999999999999812e-01	2.972120e-04
3.999999999999813e-01	3.970624e-04
4.999999999999812e-01	4.969127e-04
5.999999999999812e-01	5.967628e-04
6.999999999999812e-01	6.966127e-04
7.999999999999812e-01	7.964624e-04
8.999999999999811e-01	8.963119e-04
9.999999999999811e-01	9.961611e-04
1.099999999999981e+00	1.096010e-03
1.199999999999981e+00	1.195859e-03
1.299999999999981e+00	1.295708e-03
1.399999999999981e+00	1.395556e-03
1.499999999999982e+00	1.495405e-03
1.599999999999982e+00	1.595253e-03
1.699999999999982e+00	1.695100e-03
1.799999999999982e+00	1.794948e-03
1.899999999999982e+00	1.894796e-03
1.999999999999982e+00	1.994643e-03
2.099999999999982e+00	2.094490e-03
2.199999999999982e+00	2.194337e-03
2.299999999999982e+00	2.294183e-03
2.399999999999982e+00	2.394030e-03
2.499999999999982e+00	2.493876e-03
2.599999999999982e+00	2.593722e-03
2.699999999999982e+00	2.693568e-03
2.799999999999983e+00	2.793413e-03
2.899999999999983e+00	2.893258e-03
2.999999999999983e+00	2.993104e-03
3.099999999999983e+00	3.092949e-03
3.199999999999983e+00	3.192793e-03
3.299999999999983e+00	3.292638e-03
3.399999999999983e+00	3.392482e-03
3.499999999999983e+00	3.492326e-03
3.599999999999983e+00	3.592170e-03
3.699999999999983e+00	3.692013e-03
3.799999999999983e+00	3.789905e-03
3.899999999999983e+00	3.832641e-03
3.999999999999984e+00	3.846933e-03
4.099999999999984e+00	3.856634e-03
4.199999999999983e+00	3.864494e-03
4.299999999999983e+00	3.871453e-03
4.399999999999983e+00	3.877746e-03
4.499999999999982e+00	3.883610e-03
4.599999999999982e+00	3.889157e-03
4.699999999999982e+00	3.894448e-03
4.799999999999981e+00	3.899534e-03
4.899999999999981e+00	3.904454e-03
4.999999999999980e+00	3.909240e-03
5.099999999999980e+00	3.913919e-03
5.199999999999980e+00	3.918515e-03
5.299999999999979e+00	3.923046e-03
5.399999999999979e+00	3.927529e-03
5.499999999999979e+00	3.931975e-03
5.599999999999978e+00	3.936395e-03
5.699999999999978e+00	3.940794e-03
5.799999999999978e+00	3.945179e-03
5.899999999999977e+00	3.949553e-03
5.999999999999977e+00	3.953920e-03
6.099999999999977e+00	3.958282e-03
6.199999999999976e+00	3.962640e-03
6.299999999999976e+00	3.966995e-03
6.399999999999975e+00	3.971348e-03
6.499999999999975e+00	3.975699e-03
6.599999999999975e+00	3.980049e-03
6.699999999999974e+00	3.984399e-03
6.799999999999974e+00	3.988748e-03
6.899999999999974e+00	3.993097e-03
6.999999999999973e+00	3.997446e-03
7.099999999999973e+00	4.001793e-03
7.199999999999973e+00	4.006142e-03
7.299999999999972e+00	4.010490e-03
7.399999999999972e+00	4.014838e-03
7.499999999999972e+00	4.019186e-03
7.599999999999971e+00	4.023534e-03
7.699999999999971e+00	4.027882e-03
7.799999999999971e+00	4.032230e-03
7.899999999999970e+00	4.036577e-03
7.999999999999970e+00	4.040925e-03
8.099999999999969e+00	4.045273e-03
8.199999999999969e+00	4.049621e-03
8.299999999999969e+00	4.053969e-03
8.399999999999968e+00	4.058317e-03
8.499999999999968e+00	4.062665e-03
8.599999999999968e+00	4.067013e-03
8.699999999999967e+00	4.071360e-03
8.799999999999967e+00	4.075708e-03
8.899999999999967e+00	4.080056e-03
8.999999999999966e+00	4.084404e-03
9.099999999999966e+00	4.088752e-03
9.199999999999966e+00	4.093099e-03
9.299999999999965e+00	4.097447e-03
9.399999999999965e+00	4.101795e-03
9.499999999999964e+00	4.106143e-03
9.599999999999964e+00	4.110491e-03
9.699999999999964e+00	4.114839e-03
9.799999999999963e+00	4.119187e-03
9.899999999999963e+00	4.123535e-03
1.000000000000000e+01	4.127882e-03
Step Information: R=5K
-1.000000000000000e+01	-1.963640e-03
-9.900000000000000e+00	-1.961855e-03
-9.800000000000001e+00	-1.960069e-03
-9.700000000000001e+00	-1.958283e-03
-9.600000000000001e+00	-1.956497e-03
-9.500000000000002e+00	-1.954711e-03
-9.400000000000002e+00	-1.952925e-03
-9.300000000000002e+00	-1.951139e-03
-9.200000000000003e+00	-1.949353e-03
-9.100000000000003e+00	-1.947567e-03
-9.000000000000004e+00	-1.945782e-03
-8.900000000000004e+00	-1.943996e-03
-8.800000000000004e+00	-1.942210e-03
-8.700000000000005e+00	-1.940424e-03
-8.600000000000005e+00	-1.938638e-03
-8.500000000000005e+00	-1.936852e-03
-8.400000000000006e+00	-1.935066e-03
-8.300000000000006e+00	-1.933280e-03
-8.200000000000006e+00	-1.931494e-03
-8.100000000000007e+00	-1.929709e-03
-8.000000000000007e+00	-1.927923e-03
-7.900000000000007e+00	-1.926137e-03
-7.800000000000008e+00	-1.924351e-03
-7.700000000000008e+00	-1.922565e-03
-7.600000000000009e+00	-1.920779e-03
-7.500000000000009e+00	-1.918993e-03
-7.400000000000009e+00	-1.917207e-03
-7.300000000000010e+00	-1.915421e-03
-7.200000000000010e+00	-1.913635e-03
-7.100000000000010e+00	-1.911850e-03
-7.000000000000011e+00	-1.910064e-03
-6.900000000000011e+00	-1.908278e-03
-6.800000000000011e+00	-1.906492e-03
-6.700000000000012e+00	-1.904706e-03
-6.600000000000012e+00	-1.902920e-03
-6.500000000000012e+00	-1.901134e-03
-6.400000000000013e+00	-1.899348e-03
-6.300000000000013e+00	-1.897562e-03
-6.200000000000014e+00	-1.895777e-03
-6.100000000000014e+00	-1.893991e-03
-6.000000000000014e+00	-1.892205e-03
-5.900000000000015e+00	-1.890419e-03
-5.800000000000015e+00	-1.888633e-03
-5.700000000000015e+00	-1.886847e-03
-5.600000000000016e+00	-1.885061e-03
-5.500000000000016e+00	-1.883275e-03
-5.400000000000016e+00	-1.881489e-03
-5.300000000000017e+00	-1.879703e-03
-5.200000000000017e+00	-1.877917e-03
-5.100000000000017e+00	-1.876131e-03
-5.000000000000018e+00	-1.874345e-03
-4.900000000000018e+00	-1.872559e-03
-4.800000000000018e+00	-1.870773e-03
-4.700000000000019e+00	-1.868987e-03
-4.600000000000019e+00	-1.867200e-03
-4.500000000000020e+00	-1.865414e-03
-4.400000000000020e+00	-1.863627e-03
-4.300000000000020e+00	-1.861839e-03
-4.200000000000021e+00	-1.860051e-03
-4.100000000000021e+00	-1.858262e-03
-4.000000000000021e+00	-1.856472e-03
-3.900000000000021e+00	-1.854680e-03
-3.800000000000021e+00	-1.852885e-03
-3.700000000000021e+00	-1.851087e-03
-3.600000000000021e+00	-1.849283e-03
-3.500000000000021e+00	-1.847473e-03
-3.400000000000021e+00	-1.845654e-03
-3.300000000000021e+00	-1.843821e-03
-3.200000000000021e+00	-1.841971e-03
-3.100000000000021e+00	-1.840097e-03
-3.000000000000020e+00	-1.838192e-03
-2.900000000000020e+00	-1.836248e-03
-2.800000000000020e+00	-1.834252e-03
-2.700000000000020e+00	-1.832193e-03
-2.600000000000020e+00	-1.830056e-03
-2.500000000000020e+00	-1.827821e-03
-2.400000000000020e+00	-1.825464e-03
-2.300000000000020e+00	-1.822946e-03
-2.200000000000020e+00	-1.820207e-03
-2.100000000000020e+00	-1.817132e-03
-2.000000000000020e+00	-1.813472e-03
-1.900000000000019e+00	-1.808294e-03
-1.800000000000019e+00	-1.792045e-03
-1.700000000000019e+00	-1.696201e-03
-1.600000000000019e+00	-1.596546e-03
-1.500000000000019e+00	-1.496899e-03
-1.400000000000019e+00	-1.397253e-03
-1.300000000000019e+00	-1.297609e-03
-1.200000000000019e+00	-1.197966e-03
-1.100000000000019e+00	-1.098324e-03
-1.000000000000019e+00	-9.986826e-04
-9.000000000000187e-01	-8.990426e-04
-8.000000000000187e-01	-7.994039e-04
-7.000000000000187e-01	-6.997662e-04
-6.000000000000187e-01	-6.001297e-04
-5.000000000000188e-01	-5.004944e-04
-4.000000000000188e-01	-4.008602e-04
-3.000000000000188e-01	-3.012272e-04
-2.000000000000188e-01	-2.015954e-04
-1.000000000000188e-01	-1.019649e-04
-1.879052469178077e-14	-2.335467e-06
9.999999999998122e-02	9.729270e-05
1.999999999999812e-01	1.969196e-04
2.999999999999812e-01	2.965454e-04
3.999999999999813e-01	3.961698e-04
4.999999999999812e-01	4.957930e-04
5.999999999999812e-01	5.954150e-04
6.999999999999812e-01	6.950356e-04
7.999999999999812e-01	7.946551e-04
8.999999999999811e-01	8.942731e-04
9.999999999999811e-01	9.938899e-04
1.099999999999981e+00	1.093505e-03
1.199999999999981e+00	1.193120e-03
1.299999999999981e+00	1.292732e-03
1.399999999999981e+00	1.392344e-03
1.499999999999982e+00	1.491942e-03
1.599999999999982e+00	1.532996e-03
1.699999999999982e+00	1.539158e-03
1.799999999999982e+00	1.543160e-03
1.899999999999982e+00	1.546363e-03
1.999999999999982e+00	1.549201e-03
2.099999999999982e+00	1.551763e-03
2.199999999999982e+00	1.554150e-03
2.299999999999982e+00	1.556406e-03
2.399999999999982e+00	1.558558e-03
2.499999999999982e+00	1.560627e-03
2.599999999999982e+00	1.562629e-03
2.699999999999982e+00	1.564578e-03
2.799999999999983e+00	1.566486e-03
2.899999999999983e+00	1.568361e-03
2.999999999999983e+00	1.570213e-03
3.099999999999983e+00	1.572046e-03
3.199999999999983e+00	1.573866e-03
3.299999999999983e+00	1.575676e-03
3.399999999999983e+00	1.577480e-03
3.499999999999983e+00	1.579278e-03
3.599999999999983e+00	1.581072e-03
3.699999999999983e+00	1.582865e-03
3.799999999999983e+00	1.584655e-03
3.899999999999983e+00	1.586444e-03
3.999999999999984e+00	1.588232e-03
4.099999999999984e+00	1.590019e-03
4.199999999999983e+00	1.591806e-03
4.299999999999983e+00	1.593592e-03
4.399999999999983e+00	1.595379e-03
4.499999999999982e+00	1.597165e-03
4.599999999999982e+00	1.598951e-03
4.699999999999982e+00	1.600737e-03
4.799999999999981e+00	1.602523e-03
4.899999999999981e+00	1.604308e-03
4.999999999999980e+00	1.606094e-03
5.099999999999980e+00	1.607880e-03
5.199999999999980e+00	1.609666e-03
5.299999999999979e+00	1.611451e-03
5.399999999999979e+00	1.613237e-03
5.499999999999979e+00	1.615023e-03
5.599999999999978e+00	1.616809e-03
5.699999999999978e+00	1.618594e-03
5.799999999999978e+00	1.620380e-03
5.899999999999977e+00	1.622166e-03
5.999999999999977e+00	1.623951e-03
6.099999999999977e+00	1.625737e-03
6.199999999999976e+00	1.627523e-03
6.299999999999976e+00	1.629309e-03
6.399999999999975e+00	1.631094e-03
6.499999999999975e+00	1.632880e-03
6.599999999999975e+00	1.634666e-03
6.699999999999974e+00	1.636452e-03
6.799999999999974e+00	1.638237e-03
6.899999999999974e+00	1.640023e-03
6.999999999999973e+00	1.641809e-03
7.099999999999973e+00	1.643594e-03
7.199999999999973e+00	1.645380e-03
7.299999999999972e+00	1.647166e-03
7.399999999999972e+00	1.648952e-03
7.499999999999972e+00	1.650737e-03
7.599999999999971e+00	1.652523e-03
7.699999999999971e+00	1.654309e-03
7.799999999999971e+00	1.656094e-03
7.899999999999970e+00	1.657880e-03
7.999999999999970e+00	1.659666e-03
8.099999999999969e+00	1.661452e-03
8.199999999999969e+00	1.663237e-03
8.299999999999969e+00	1.665023e-03
8.399999999999968e+00	1.666809e-03
8.499999999999968e+00	1.668595e-03
8.599999999999968e+00	1.670380e-03
8.699999999999967e+00	1.672166e-03
8.799999999999967e+00	1.673952e-03
8.899999999999967e+00	1.675737e-03
8.999999999999966e+00	1.677523e-03
9.099999999999966e+00	1.679309e-03
9.199999999999966e+00	1.681095e-03
9.299999999999965e+00	1.682880e-03
9.399999999999965e+00	1.684666e-03
9.499999999999964e+00	1.686452e-03
9.599999999999964e+00	1.688237e-03
9.699999999999964e+00	1.690023e-03
9.799999999999963e+00	1.691809e-03
9.899999999999963e+00	1.693595e-03
1.000000000000000e+01	1.695380e-03
Step Information: R=10K
-1.000000000000000e+01	-9.906663e-04
-9.900000000000000e+00	-9.897653e-04
-9.800000000000001e+00	-9.888643e-04
-9.700000000000001e+00	-9.879633e-04
-9.600000000000001e+00	-9.870623e-04
-9.500000000000002e+00	-9.861613e-04
-9.400000000000002e+00	-9.852604e-04
-9.300000000000002e+00	-9.843594e-04
-9.200000000000003e+00	-9.834584e-04
-9.100000000000003e+00	-9.825574e-04
-9.000000000000004e+00	-9.816564e-04
-8.900000000000004e+00	-9.807554e-04
-8.800000000000004e+00	-9.798544e-04
-8.700000000000005e+00	-9.789534e-04
-8.600000000000005e+00	-9.780524e-04
-8.500000000000005e+00	-9.771514e-04
-8.400000000000006e+00	-9.762504e-04
-8.300000000000006e+00	-9.753495e-04
-8.200000000000006e+00	-9.744485e-04
-8.100000000000007e+00	-9.735475e-04
-8.000000000000007e+00	-9.726465e-04
-7.900000000000007e+00	-9.717455e-04
-7.800000000000008e+00	-9.708445e-04
-7.700000000000008e+00	-9.699435e-04
-7.600000000000009e+00	-9.690425e-04
-7.500000000000009e+00	-9.681415e-04
-7.400000000000009e+00	-9.672405e-04
-7.300000000000010e+00	-9.663395e-04
-7.200000000000010e+00	-9.654386e-04
-7.100000000000010e+00	-9.645376e-04
-7.000000000000011e+00	-9.636366e-04
-6.900000000000011e+00	-9.627356e-04
-6.800000000000011e+00	-9.618346e-04
-6.700000000000012e+00	-9.609336e-04
-6.600000000000012e+00	-9.600326e-04
-6.500000000000012e+00	-9.591316e-04
-6.400000000000013e+00	-9.582306e-04
-6.300000000000013e+00	-9.573296e-04
-6.200000000000014e+00	-9.564286e-04
-6.100000000000014e+00	-9.555276e-04
-6.000000000000014e+00	-9.546267e-04
-5.900000000000015e+00	-9.537257e-04
-5.800000000000015e+00	-9.528247e-04
-5.700000000000015e+00	-9.519237e-04
-5.600000000000016e+00	-9.510227e-04
-5.500000000000016e+00	-9.501217e-04
-5.400000000000016e+00	-9.492207e-04
-5.300000000000017e+00	-9.483197e-04
-5.200000000000017e+00	-9.474187e-04
-5.100000000000017e+00	-9.465177e-04
-5.000000000000018e+00	-9.456167e-04
-4.900000000000018e+00	-9.447157e-04
-4.800000000000018e+00	-9.438148e-04
-4.700000000000019e+00	-9.429138e-04
-4.600000000000019e+00	-9.420128e-04
-4.500000000000020e+00	-9.411118e-04
-4.400000000000020e+00	-9.402108e-04
-4.300000000000020e+00	-9.393097e-04
-4.200000000000021e+00	-9.384087e-04
-4.100000000000021e+00	-9.375077e-04
-4.000000000000021e+00	-9.366065e-04
-3.900000000000021e+00	-9.357054e-04
-3.800000000000021e+00	-9.348043e-04
-3.700000000000021e+00	-9.339030e-04
-3.600000000000021e+00	-9.330017e-04
-3.500000000000021e+00	-9.321002e-04
-3.400000000000021e+00	-9.311985e-04
-3.300000000000021e+00	-9.302965e-04
-3.200000000000021e+00	-9.293940e-04
-3.100000000000021e+00	-9.284910e-04
-3.000000000000020e+00	-9.275871e-04
-2.900000000000020e+00	-9.266820e-04
-2.800000000000020e+00	-9.257753e-04
-2.700000000000020e+00	-9.248662e-04
-2.600000000000020e+00	-9.239539e-04
-2.500000000000020e+00	-9.230370e-04
-2.400000000000020e+00	-9.221139e-04
-2.300000000000020e+00	-9.211823e-04
-2.200000000000020e+00	-9.202393e-04
-2.100000000000020e+00	-9.192812e-04
-2.000000000000020e+00	-9.183036e-04
-1.900000000000019e+00	-9.173008e-04
-1.800000000000019e+00	-9.162666e-04
-1.700000000000019e+00	-9.151933e-04
-1.600000000000019e+00	-9.140714e-04
-1.500000000000019e+00	-9.128880e-04
-1.400000000000019e+00	-9.116245e-04
