v1	V(vo1)
-5.000000000000000e+00	-9.995870e+00
-4.900000000000000e+00	-9.995859e+00
-4.800000000000001e+00	-9.995848e+00
-4.700000000000001e+00	-9.995837e+00
-4.600000000000001e+00	-9.995827e+00
-4.500000000000002e+00	-9.995815e+00
-4.400000000000002e+00	-9.995805e+00
-4.300000000000002e+00	-9.995793e+00
-4.200000000000003e+00	-9.995777e+00
-4.100000000000003e+00	-9.995505e+00
-4.000000000000004e+00	-9.987542e+00
-3.900000000000003e+00	-9.916203e+00
-3.800000000000003e+00	-9.723584e+00
-3.700000000000003e+00	-9.523602e+00
-3.600000000000003e+00	-9.323609e+00
-3.500000000000003e+00	-9.123621e+00
-3.400000000000003e+00	-8.923632e+00
-3.300000000000003e+00	-8.723643e+00
-3.200000000000003e+00	-8.523655e+00
-3.100000000000003e+00	-8.323666e+00
-3.000000000000003e+00	-8.123677e+00
-2.900000000000003e+00	-7.923688e+00
-2.800000000000002e+00	-7.723700e+00
-2.700000000000002e+00	-7.523711e+00
-2.600000000000002e+00	-7.323722e+00
-2.500000000000002e+00	-7.123733e+00
-2.400000000000002e+00	-6.923744e+00
-2.300000000000002e+00	-6.723714e+00
-2.200000000000002e+00	-6.522241e+00
-2.100000000000002e+00	-6.298126e+00
-2.000000000000002e+00	-5.999668e+00
-1.900000000000002e+00	-5.699698e+00
-1.800000000000002e+00	-5.399728e+00
-1.700000000000002e+00	-5.099758e+00
-1.600000000000001e+00	-4.799788e+00
-1.500000000000001e+00	-4.499817e+00
-1.400000000000001e+00	-4.199847e+00
-1.300000000000001e+00	-3.899877e+00
-1.200000000000001e+00	-3.599907e+00
-1.100000000000001e+00	-3.299937e+00
-1.000000000000001e+00	-2.999967e+00
-9.000000000000009e-01	-2.699996e+00
-8.000000000000009e-01	-2.400027e+00
-7.000000000000010e-01	-2.100056e+00
-6.000000000000010e-01	-1.800086e+00
-5.000000000000010e-01	-1.500116e+00
-4.000000000000010e-01	-1.200146e+00
-3.000000000000010e-01	-9.001765e-01
-2.000000000000010e-01	-6.002066e-01
-1.000000000000010e-01	-3.002366e-01
-1.026956297778270e-15	-2.666963e-04
9.999999999999898e-02	2.997032e-01
1.999999999999990e-01	5.996731e-01
2.999999999999990e-01	8.996429e-01
3.999999999999990e-01	1.199613e+00
4.999999999999990e-01	1.499583e+00
5.999999999999990e-01	1.799552e+00
6.999999999999990e-01	2.099522e+00
7.999999999999989e-01	2.399492e+00
8.999999999999989e-01	2.699462e+00
9.999999999999989e-01	2.999432e+00
1.099999999999999e+00	3.299401e+00
1.199999999999999e+00	3.599371e+00
1.299999999999999e+00	3.899341e+00
1.399999999999999e+00	4.199310e+00
1.499999999999999e+00	4.499280e+00
1.599999999999999e+00	4.799250e+00
1.700000000000000e+00	5.099219e+00
1.800000000000000e+00	5.399189e+00
1.900000000000000e+00	5.699158e+00
2.000000000000000e+00	5.999128e+00
2.100000000000000e+00	6.299098e+00
2.200000000000000e+00	6.599067e+00
2.300000000000000e+00	6.899036e+00
2.400000000000000e+00	7.199006e+00
2.500000000000000e+00	7.486259e+00
2.600000000000000e+00	7.697486e+00
2.700000000000000e+00	7.898131e+00
2.800000000000000e+00	8.098160e+00
2.900000000000000e+00	8.298036e+00
3.000000000000000e+00	8.458650e+00
3.100000000000001e+00	8.492343e+00
3.200000000000001e+00	8.494942e+00
3.300000000000001e+00	8.494986e+00
3.400000000000001e+00	8.494853e+00
3.500000000000001e+00	8.494852e+00
3.600000000000001e+00	8.494852e+00
3.700000000000001e+00	8.494852e+00
3.800000000000001e+00	8.494852e+00
3.900000000000001e+00	8.494852e+00
4.000000000000001e+00	8.494852e+00
4.100000000000001e+00	8.494852e+00
4.200000000000000e+00	8.494852e+00
4.300000000000000e+00	8.494852e+00
4.399999999999999e+00	8.494852e+00
4.499999999999999e+00	8.494852e+00
4.599999999999999e+00	8.494852e+00
4.699999999999998e+00	8.494852e+00
4.799999999999998e+00	8.494852e+00
4.899999999999998e+00	8.494852e+00
5.000000000000000e+00	8.494852e+00
