v2	V(vo1)	V(vo2)
5.999999999999812e-01	1.199629e+00	4.903697e-05
6.999999999999812e-01	1.399612e+00	5.723037e-05
7.999999999999812e-01	1.599595e+00	6.542914e-05
8.999999999999811e-01	1.799577e+00	7.363330e-05
9.999999999999811e-01	1.999560e+00	8.184286e-05
1.099999999999981e+00	2.199542e+00	9.005782e-05
1.199999999999981e+00	2.399525e+00	9.827820e-05
1.299999999999981e+00	2.599508e+00	1.065040e-04
1.399999999999981e+00	2.799490e+00	1.147352e-04
1.499999999999982e+00	2.999473e+00	1.229719e-04
1.599999999999982e+00	3.199455e+00	1.312140e-04
1.699999999999982e+00	3.399438e+00	1.394616e-04
1.799999999999982e+00	3.599420e+00	1.477146e-04
1.899999999999982e+00	3.799402e+00	1.559731e-04
1.999999999999982e+00	3.999385e+00	1.642370e-04
2.099999999999982e+00	4.199368e+00	1.725065e-04
2.199999999999982e+00	4.399350e+00	1.807815e-04
2.299999999999982e+00	4.599332e+00	1.890619e-04
2.399999999999982e+00	4.799315e+00	1.973479e-04
2.499999999999982e+00	4.999297e+00	2.056394e-04
2.599999999999982e+00	5.199280e+00	2.139365e-04
2.699999999999982e+00	5.399262e+00	2.222391e-04
2.799999999999983e+00	5.599245e+00	2.305472e-04
2.899999999999983e+00	5.799227e+00	2.388609e-04
2.999999999999983e+00	5.999209e+00	2.471801e-04
3.099999999999983e+00	6.199192e+00	2.555049e-04
3.199999999999983e+00	6.399174e+00	2.638354e-04
3.299999999999983e+00	6.599156e+00	2.721714e-04
3.399999999999983e+00	6.799139e+00	2.805130e-04
3.499999999999983e+00	6.999121e+00	2.888602e-04
3.599999999999983e+00	7.199103e+00	2.972131e-04
3.699999999999983e+00	7.399086e+00	3.055715e-04
3.799999999999983e+00	7.599068e+00	3.139356e-04
3.899999999999983e+00	7.799050e+00	3.223054e-04
3.999999999999984e+00	7.999032e+00	3.306823e-04
4.099999999999984e+00	8.199012e+00	3.424723e-04
4.199999999999983e+00	8.394156e+00	6.799001e-03
4.299999999999983e+00	8.476300e+00	1.638915e-01
