vin	V(vo1)	V(vo2)
-8.940000000000023e+00	-9.996297e+00	-7.944282e+00
-8.930000000000023e+00	-9.996296e+00	-7.914599e+00
-8.920000000000023e+00	-9.996295e+00	-7.884915e+00
-8.910000000000023e+00	-9.996293e+00	-7.855230e+00
-8.900000000000023e+00	-9.996292e+00	-7.825544e+00
-8.890000000000024e+00	-9.996291e+00	-7.795857e+00
-8.880000000000024e+00	-9.996290e+00	-7.766170e+00
-8.870000000000024e+00	-9.996289e+00	-7.736481e+00
-8.860000000000024e+00	-9.996288e+00	-7.706791e+00
-8.850000000000025e+00	-9.996287e+00	-7.677100e+00
-8.840000000000025e+00	-9.996285e+00	-7.647408e+00
-8.830000000000025e+00	-9.996284e+00	-7.617715e+00
-8.820000000000025e+00	-9.996284e+00	-7.588021e+00
-8.810000000000025e+00	-9.996283e+00	-7.558327e+00
-8.800000000000026e+00	-9.996282e+00	-7.528631e+00
-8.790000000000026e+00	-9.996281e+00	-7.498934e+00
-8.780000000000026e+00	-9.996280e+00	-7.469237e+00
-8.770000000000026e+00	-9.996279e+00	-7.439538e+00
-8.760000000000026e+00	-9.996277e+00	-7.409839e+00
-8.750000000000027e+00	-9.996276e+00	-7.380138e+00
-8.740000000000027e+00	-9.996275e+00	-7.350437e+00
-8.730000000000027e+00	-9.996274e+00	-7.320735e+00
-8.720000000000027e+00	-9.996273e+00	-7.291031e+00
-8.710000000000027e+00	-9.996272e+00	-7.261327e+00
-8.700000000000028e+00	-9.996271e+00	-7.231622e+00
-8.690000000000028e+00	-9.996270e+00	-7.201916e+00
-8.680000000000028e+00	-9.996268e+00	-7.172210e+00
-8.670000000000028e+00	-9.996267e+00	-7.142502e+00
-8.660000000000029e+00	-9.996266e+00	-7.112793e+00
-8.650000000000029e+00	-9.996265e+00	-7.083084e+00
-8.640000000000029e+00	-9.996264e+00	-7.053373e+00
-8.630000000000029e+00	-9.996264e+00	-7.023663e+00
-8.620000000000029e+00	-9.996263e+00	-6.993950e+00
-8.610000000000030e+00	-9.996262e+00	-6.964238e+00
-8.600000000000030e+00	-9.996260e+00	-6.934524e+00
-8.590000000000030e+00	-9.996259e+00	-6.904809e+00
-8.580000000000030e+00	-9.996258e+00	-6.875094e+00
-8.570000000000030e+00	-9.996257e+00	-6.845377e+00
-8.560000000000031e+00	-9.996256e+00	-6.815660e+00
-8.550000000000031e+00	-9.996255e+00	-6.785943e+00
-8.540000000000031e+00	-9.996254e+00	-6.756224e+00
-8.530000000000031e+00	-9.996253e+00	-6.726504e+00
-8.520000000000032e+00	-9.996251e+00	-6.696784e+00
-8.510000000000032e+00	-9.996250e+00	-6.667063e+00
-8.500000000000032e+00	-9.996249e+00	-6.637341e+00
-8.490000000000032e+00	-9.996248e+00	-6.607618e+00
-8.480000000000032e+00	-9.996247e+00	-6.577895e+00
-8.470000000000033e+00	-9.996246e+00	-6.548170e+00
-8.460000000000033e+00	-9.996245e+00	-6.518445e+00
-8.450000000000033e+00	-9.996244e+00	-6.488719e+00
-8.440000000000033e+00	-9.996243e+00	-6.458992e+00
-8.430000000000033e+00	-9.996242e+00	-6.429265e+00
-8.420000000000034e+00	-9.996241e+00	-6.399537e+00
-8.410000000000034e+00	-9.996240e+00	-6.369808e+00
-8.400000000000034e+00	-9.996239e+00	-6.340078e+00
-8.390000000000034e+00	-9.996238e+00	-6.310348e+00
-8.380000000000035e+00	-9.996237e+00	-6.280617e+00
-8.370000000000035e+00	-9.996235e+00	-6.250885e+00
-8.360000000000035e+00	-9.996234e+00	-6.221152e+00
-8.350000000000035e+00	-9.996233e+00	-6.191419e+00
-8.340000000000035e+00	-9.996232e+00	-6.161685e+00
-8.330000000000036e+00	-9.996231e+00	-6.131950e+00
-8.320000000000036e+00	-9.996230e+00	-6.102214e+00
-8.310000000000036e+00	-9.996229e+00	-6.072478e+00
-8.300000000000036e+00	-9.996228e+00	-6.042741e+00
-8.290000000000036e+00	-9.996226e+00	-6.013003e+00
-8.280000000000037e+00	-9.996225e+00	-5.983265e+00
-8.270000000000037e+00	-9.996224e+00	-5.953526e+00
-8.260000000000037e+00	-9.996223e+00	-5.923786e+00
-8.250000000000037e+00	-9.996222e+00	-5.894045e+00
-8.240000000000038e+00	-9.996222e+00	-5.864304e+00
-8.230000000000038e+00	-9.996221e+00	-5.834562e+00
-8.220000000000038e+00	-9.996220e+00	-5.804820e+00
-8.210000000000038e+00	-9.996218e+00	-5.775076e+00
-8.200000000000038e+00	-9.996217e+00	-5.745332e+00
-8.190000000000039e+00	-9.996216e+00	-5.715588e+00
-8.180000000000039e+00	-9.996215e+00	-5.685843e+00
-8.170000000000039e+00	-9.996214e+00	-5.656096e+00
-8.160000000000039e+00	-9.996213e+00	-5.626350e+00
-8.150000000000039e+00	-9.996212e+00	-5.596603e+00
-8.140000000000040e+00	-9.996211e+00	-5.566855e+00
-8.130000000000040e+00	-9.996209e+00	-5.537106e+00
-8.120000000000040e+00	-9.996208e+00	-5.507357e+00
-8.110000000000040e+00	-9.996207e+00	-5.477607e+00
-8.100000000000041e+00	-9.996206e+00	-5.447856e+00
-8.090000000000041e+00	-9.996205e+00	-5.418106e+00
-8.080000000000041e+00	-9.996204e+00	-5.388354e+00
-8.070000000000041e+00	-9.996203e+00	-5.358601e+00
-8.060000000000041e+00	-9.996202e+00	-5.328848e+00
-8.050000000000042e+00	-9.996201e+00	-5.299095e+00
-8.040000000000042e+00	-9.996200e+00	-5.269341e+00
-8.030000000000042e+00	-9.996199e+00	-5.239585e+00
-8.020000000000042e+00	-9.996198e+00	-5.209830e+00
-8.010000000000042e+00	-9.996197e+00	-5.180074e+00
-8.000000000000043e+00	-9.996196e+00	-5.150317e+00
-7.990000000000043e+00	-9.996195e+00	-5.120560e+00
-7.980000000000043e+00	-9.996193e+00	-5.090802e+00
-7.970000000000043e+00	-9.996192e+00	-5.061043e+00
-7.960000000000043e+00	-9.996191e+00	-5.031284e+00
