v1	V(vo1)	V(vo2)
-5.000000000000188e-01	-1.500116e+00	1.999745e+00
-4.000000000000188e-01	-1.200146e+00	1.599796e+00
-3.000000000000188e-01	-9.001765e-01	1.199847e+00
-2.000000000000188e-01	-6.002066e-01	7.998981e-01
-1.000000000000188e-01	-3.002366e-01	3.999490e-01
-1.879052469178077e-14	-2.666963e-04	-1.092106e-08
9.999999999998122e-02	2.997032e-01	-3.999490e-01
1.999999999999812e-01	5.996731e-01	-7.998980e-01
2.999999999999812e-01	8.996429e-01	-1.199847e+00
3.999999999999813e-01	1.199613e+00	-1.599796e+00
4.999999999999812e-01	1.499583e+00	-1.999745e+00
5.999999999999812e-01	1.799552e+00	-2.399694e+00
6.999999999999812e-01	2.099522e+00	-2.799643e+00
7.999999999999812e-01	2.399492e+00	-3.199591e+00
8.999999999999811e-01	2.699462e+00	-3.599540e+00
9.999999999999811e-01	2.999432e+00	-3.999489e+00
1.099999999999981e+00	3.299401e+00	-4.399438e+00
1.199999999999981e+00	3.599371e+00	-4.799387e+00
1.299999999999981e+00	3.899341e+00	-5.199336e+00
1.399999999999981e+00	4.199310e+00	-5.599284e+00
1.499999999999982e+00	4.499280e+00	-5.999233e+00
1.599999999999982e+00	4.799250e+00	-6.399181e+00
1.699999999999982e+00	5.099219e+00	-6.799130e+00
1.799999999999982e+00	5.399189e+00	-7.199079e+00
1.899999999999982e+00	5.699158e+00	-7.599027e+00
1.999999999999982e+00	5.999128e+00	-7.998976e+00
2.099999999999982e+00	6.299098e+00	-8.398925e+00
2.199999999999982e+00	6.599067e+00	-8.798873e+00
2.299999999999982e+00	6.899036e+00	-9.198821e+00
2.399999999999982e+00	7.199006e+00	-9.598770e+00
2.499999999999982e+00	7.486259e+00	-9.947817e+00
2.599999999999982e+00	7.697486e+00	-9.992641e+00
2.699999999999982e+00	7.898131e+00	-9.995268e+00
2.799999999999983e+00	8.098160e+00	-9.995441e+00
2.899999999999983e+00	8.298036e+00	-9.995320e+00
2.999999999999983e+00	8.458650e+00	-9.995318e+00
3.099999999999983e+00	8.492343e+00	-9.995318e+00
3.199999999999983e+00	8.494942e+00	-9.995318e+00
3.299999999999983e+00	8.494986e+00	-9.995318e+00
3.399999999999983e+00	8.494853e+00	-9.995318e+00
3.499999999999983e+00	8.494852e+00	-9.995318e+00
3.599999999999983e+00	8.494852e+00	-9.995318e+00
3.699999999999983e+00	8.494852e+00	-9.995318e+00
3.799999999999983e+00	8.494852e+00	-9.995318e+00
3.899999999999983e+00	8.494852e+00	-9.995318e+00
3.999999999999984e+00	8.494852e+00	-9.995318e+00
4.099999999999984e+00	8.494852e+00	-9.995318e+00
4.199999999999983e+00	8.494852e+00	-9.995318e+00
4.299999999999983e+00	8.494852e+00	-9.995318e+00
4.399999999999983e+00	8.494852e+00	-9.995318e+00
4.499999999999982e+00	8.494852e+00	-9.995318e+00
4.599999999999982e+00	8.494852e+00	-9.995318e+00
4.699999999999982e+00	8.494852e+00	-9.995318e+00
4.799999999999981e+00	8.494852e+00	-9.995318e+00
4.899999999999981e+00	8.494852e+00	-9.995318e+00
4.999999999999980e+00	8.494852e+00	-9.995318e+00
5.099999999999980e+00	8.494852e+00	-9.995318e+00
5.199999999999980e+00	8.494852e+00	-9.995318e+00
5.299999999999979e+00	8.494852e+00	-9.995318e+00
5.399999999999979e+00	8.494852e+00	-9.995318e+00
5.499999999999979e+00	8.494852e+00	-9.995318e+00
5.599999999999978e+00	8.494852e+00	-9.995318e+00
5.699999999999978e+00	8.494852e+00	-9.995318e+00
5.799999999999978e+00	8.494852e+00	-9.995318e+00
5.899999999999977e+00	8.494852e+00	-9.995318e+00
5.999999999999977e+00	8.494852e+00	-9.995318e+00
6.099999999999977e+00	8.494852e+00	-9.995318e+00
6.199999999999976e+00	8.494852e+00	-9.995318e+00
6.299999999999976e+00	8.494852e+00	-9.995318e+00
6.399999999999975e+00	8.494852e+00	-9.995318e+00
6.499999999999975e+00	8.494852e+00	-9.995318e+00
6.599999999999975e+00	8.494852e+00	-9.995318e+00
6.699999999999974e+00	8.494852e+00	-9.995318e+00
6.799999999999974e+00	8.494852e+00	-9.995318e+00
6.899999999999974e+00	8.494852e+00	-9.995318e+00
6.999999999999973e+00	8.494852e+00	-9.995318e+00
7.099999999999973e+00	8.494852e+00	-9.995318e+00
7.199999999999973e+00	8.494852e+00	-9.995318e+00
7.299999999999972e+00	8.494852e+00	-9.995318e+00
7.399999999999972e+00	8.494852e+00	-9.995318e+00
7.499999999999972e+00	8.494852e+00	-9.995318e+00
7.599999999999971e+00	8.494852e+00	-9.995318e+00
7.699999999999971e+00	8.494852e+00	-9.995318e+00
7.799999999999971e+00	8.494852e+00	-9.995318e+00
7.899999999999970e+00	8.494852e+00	-9.995318e+00
7.999999999999970e+00	8.494852e+00	-9.995318e+00
8.099999999999969e+00	8.494852e+00	-9.995318e+00
8.199999999999969e+00	8.494852e+00	-9.995318e+00
8.299999999999969e+00	8.494852e+00	-9.995318e+00
8.399999999999968e+00	8.494852e+00	-9.995318e+00
8.499999999999968e+00	8.494852e+00	-9.995318e+00
8.599999999999968e+00	8.494852e+00	-9.995318e+00
8.699999999999967e+00	8.494852e+00	-9.995318e+00
8.799999999999967e+00	8.494852e+00	-9.995318e+00
8.899999999999967e+00	8.494852e+00	-9.995318e+00
8.999999999999966e+00	8.494852e+00	-9.995318e+00
9.099999999999966e+00	8.494852e+00	-9.995318e+00
9.199999999999966e+00	8.494852e+00	-9.995318e+00
9.299999999999965e+00	8.494852e+00	-9.995318e+00
9.399999999999965e+00	8.494852e+00	-9.995318e+00
9.499999999999964e+00	8.494852e+00	-9.995318e+00
9.599999999999964e+00	8.494852e+00	-9.995318e+00
9.699999999999964e+00	8.494852e+00	-9.995318e+00
9.799999999999963e+00	8.494852e+00	-9.995318e+00
9.899999999999963e+00	8.494852e+00	-9.995318e+00
1.000000000000000e+01	8.494852e+00	-9.995318e+00
