v2	V(vo1)	V(vo2)
-1.000000000000000e+01	2.498834e+00	-9.996410e+00
-9.900000000000000e+00	2.498831e+00	-9.996400e+00
-9.800000000000001e+00	2.498829e+00	-9.996388e+00
-9.700000000000001e+00	2.498826e+00	-9.996378e+00
-9.600000000000001e+00	2.498823e+00	-9.996367e+00
-9.500000000000002e+00	2.498821e+00	-9.996357e+00
-9.400000000000002e+00	2.498818e+00	-9.996346e+00
-9.300000000000002e+00	2.498815e+00	-9.996335e+00
-9.200000000000003e+00	2.498812e+00	-9.996325e+00
-9.100000000000003e+00	2.498810e+00	-9.996314e+00
-9.000000000000004e+00	2.498807e+00	-9.996303e+00
-8.900000000000004e+00	2.498805e+00	-9.996292e+00
-8.800000000000004e+00	2.498802e+00	-9.996282e+00
-8.700000000000005e+00	2.498799e+00	-9.996271e+00
-8.600000000000005e+00	2.498796e+00	-9.996260e+00
-8.500000000000005e+00	2.498794e+00	-9.996249e+00
-8.400000000000006e+00	2.498791e+00	-9.996239e+00
-8.300000000000006e+00	2.498788e+00	-9.996228e+00
-8.200000000000006e+00	2.498786e+00	-9.996217e+00
-8.100000000000007e+00	2.498783e+00	-9.996206e+00
-8.000000000000007e+00	2.498780e+00	-9.996196e+00
-7.900000000000007e+00	2.498778e+00	-9.996184e+00
-7.800000000000008e+00	2.498775e+00	-9.996174e+00
-7.700000000000008e+00	2.498772e+00	-9.996163e+00
-7.600000000000009e+00	2.498770e+00	-9.996152e+00
-7.500000000000009e+00	2.498767e+00	-9.996141e+00
-7.400000000000009e+00	2.498764e+00	-9.996131e+00
-7.300000000000010e+00	2.498761e+00	-9.996120e+00
-7.200000000000010e+00	2.498759e+00	-9.996109e+00
-7.100000000000010e+00	2.498756e+00	-9.996099e+00
-7.000000000000011e+00	2.498753e+00	-9.996087e+00
-6.900000000000011e+00	2.498751e+00	-9.996077e+00
-6.800000000000011e+00	2.498748e+00	-9.996066e+00
-6.700000000000012e+00	2.498745e+00	-9.996055e+00
-6.600000000000012e+00	2.498743e+00	-9.996044e+00
-6.500000000000012e+00	2.498740e+00	-9.996034e+00
-6.400000000000013e+00	2.498737e+00	-9.996022e+00
-6.300000000000013e+00	2.498734e+00	-9.996012e+00
-6.200000000000014e+00	2.498732e+00	-9.996001e+00
-6.100000000000014e+00	2.498729e+00	-9.995990e+00
-6.000000000000014e+00	2.498726e+00	-9.995979e+00
-5.900000000000015e+00	2.498724e+00	-9.995968e+00
-5.800000000000015e+00	2.498721e+00	-9.995957e+00
-5.700000000000015e+00	2.498718e+00	-9.995947e+00
-5.600000000000016e+00	2.498715e+00	-9.995935e+00
-5.500000000000016e+00	2.498713e+00	-9.995925e+00
-5.400000000000016e+00	2.498710e+00	-9.995914e+00
-5.300000000000017e+00	2.498707e+00	-9.995903e+00
-5.200000000000017e+00	2.498704e+00	-9.995892e+00
-5.100000000000017e+00	2.498702e+00	-9.995881e+00
-5.000000000000018e+00	2.498699e+00	-9.995871e+00
-4.900000000000018e+00	2.498696e+00	-9.995859e+00
-4.800000000000018e+00	2.498693e+00	-9.995849e+00
-4.700000000000019e+00	2.498691e+00	-9.995837e+00
-4.600000000000019e+00	2.498688e+00	-9.995827e+00
-4.500000000000020e+00	2.498685e+00	-9.995815e+00
-4.400000000000020e+00	2.498682e+00	-9.995805e+00
-4.300000000000020e+00	2.498680e+00	-9.995793e+00
-4.200000000000021e+00	2.498677e+00	-9.995783e+00
-4.100000000000021e+00	2.498674e+00	-9.995771e+00
-4.000000000000021e+00	2.498672e+00	-9.995761e+00
-3.900000000000021e+00	2.498669e+00	-9.995749e+00
-3.800000000000021e+00	2.498666e+00	-9.995739e+00
-3.700000000000021e+00	2.498663e+00	-9.995728e+00
-3.600000000000021e+00	2.498661e+00	-9.995717e+00
-3.500000000000021e+00	2.498658e+00	-9.995706e+00
-3.400000000000021e+00	2.498655e+00	-9.995695e+00
-3.300000000000021e+00	2.498652e+00	-9.995684e+00
-3.200000000000021e+00	2.498650e+00	-9.995673e+00
-3.100000000000021e+00	2.498647e+00	-9.995662e+00
-3.000000000000020e+00	2.498644e+00	-9.995651e+00
-2.900000000000020e+00	2.498641e+00	-9.995640e+00
-2.800000000000020e+00	2.498638e+00	-9.995627e+00
-2.700000000000020e+00	2.498620e+00	-9.995553e+00
-2.600000000000020e+00	2.497950e+00	-9.992895e+00
-2.500000000000020e+00	2.486693e+00	-9.948015e+00
-2.400000000000020e+00	2.399523e+00	-9.599358e+00
-2.300000000000020e+00	2.299442e+00	-9.199027e+00
-2.200000000000020e+00	2.199454e+00	-8.799065e+00
-2.100000000000020e+00	2.099466e+00	-8.399106e+00
-2.000000000000020e+00	1.999479e+00	-7.999149e+00
-1.900000000000019e+00	1.899491e+00	-7.599191e+00
-1.800000000000019e+00	1.799504e+00	-7.199234e+00
-1.700000000000019e+00	1.699517e+00	-6.799276e+00
-1.600000000000019e+00	1.599529e+00	-6.399318e+00
-1.500000000000019e+00	1.499542e+00	-5.999361e+00
-1.400000000000019e+00	1.399555e+00	-5.599403e+00
-1.300000000000019e+00	1.299567e+00	-5.199445e+00
-1.200000000000019e+00	1.199580e+00	-4.799488e+00
-1.100000000000019e+00	1.099593e+00	-4.399530e+00
-1.000000000000019e+00	9.996057e-01	-3.999573e+00
-9.000000000000187e-01	8.996184e-01	-3.599616e+00
-8.000000000000187e-01	7.996311e-01	-3.199658e+00
-7.000000000000187e-01	6.996439e-01	-2.799701e+00
-6.000000000000187e-01	5.996566e-01	-2.399744e+00
-5.000000000000188e-01	4.996694e-01	-1.999786e+00
-4.000000000000188e-01	3.996822e-01	-1.599829e+00
-3.000000000000188e-01	2.996950e-01	-1.199872e+00
-2.000000000000188e-01	1.997077e-01	-7.999144e-01
-1.000000000000188e-01	9.972052e-02	-3.999572e-01
-1.879052469178077e-14	-2.666963e-04	-1.091090e-08
9.999999999998122e-02	-1.002539e-01	3.999572e-01
1.999999999999812e-01	-2.002411e-01	7.999143e-01
2.999999999999812e-01	-3.002283e-01	1.199871e+00
3.999999999999813e-01	-4.002155e-01	1.599828e+00
4.999999999999812e-01	-5.002027e-01	1.999786e+00
5.999999999999812e-01	-6.001898e-01	2.399743e+00
6.999999999999812e-01	-7.001770e-01	2.799700e+00
7.999999999999812e-01	-8.001641e-01	3.199657e+00
8.999999999999811e-01	-9.001513e-01	3.599614e+00
9.999999999999811e-01	-1.000138e+00	3.999571e+00
1.099999999999981e+00	-1.100126e+00	4.399528e+00
1.199999999999981e+00	-1.200113e+00	4.799484e+00
1.299999999999981e+00	-1.300100e+00	5.199441e+00
1.399999999999981e+00	-1.400087e+00	5.599398e+00
1.499999999999982e+00	-1.500074e+00	5.999355e+00
1.599999999999982e+00	-1.600061e+00	6.399312e+00
